país,2020,2021,2022,2023,2024,2025,Crescimento 2020-2021,Crescimento 2021-2022,Crescimento 2022-2023,Crescimento 2023-2024,Crescimento 2024-2025,Média do Crescimento,Ranking de crescimento,Faixa de crescimento,Participação 2020,Participação 2025,Tendência de Participação,Crescimento Bruto,Ranking de Crescimento Bruto
Afghanistan,"$20,136.00","$14,278.00","$14,501.00","$17,248.00","$17,248.00","$17,248.00",-29.09%,1.56%,18.94%,0.00%,0.00%,-1.72,177,Baixo,0.02%,0.02%,→ Estável,"$-2,888",192
Albania,"$15,271.00","$18,086.00","$19,185.00","$23,388.00","$27,259.00","$28,372.00",18.43%,6.08%,21.91%,16.55%,4.08%,13.41,17,Alto,0.02%,0.02%,→ Estável,"$13,101",153
Algeria,"$164,774.00","$185,850.00","$225,709.00","$247,789.00","$264,913.00","$268,885.00",12.79%,21.45%,9.78%,6.91%,1.50%,10.49,39,Alto,0.19%,0.24%,↑ Cresceu,"$104,111",168
Andorra,"$2,885.00","$3,325.00","$3,376.00","$3,786.00","$4,038.00","$4,035.00",15.25%,1.53%,12.14%,6.66%,-0.07%,7.1,94,Médio,0.00%,0.00%,→ Estável,"$1,150",182
Angola,"$66,521.00","$84,375.00","$142,442.00","$109,764.00","$115,946.00","$113,343.00",26.84%,68.82%,-22.94%,5.63%,-2.25%,15.22,11,Alto,0.08%,0.10%,↑ Cresceu,"$46,822",58
Antigua and Barbuda,"$1,412.00","$1,602.00","$1,867.00","$2,006.00","$2,225.00","$2,373.00",13.46%,16.54%,7.45%,10.92%,6.65%,11.0,30,Alto,0.00%,0.00%,→ Estável,$961,2
Argentina,"$385,218.00","$486,040.00","$632,318.00","$645,511.00","$632,145.00","$683,533.00",26.17%,30.10%,2.09%,-2.07%,8.13%,12.88,19,Alto,0.45%,0.60%,↑ Cresceu,"$298,315",104
Armenia,"$12,642.00","$13,879.00","$19,514.00","$24,086.00","$25,533.00","$26,258.00",9.78%,40.60%,23.43%,6.01%,2.84%,16.53,8,Alto,0.01%,0.02%,↑ Cresceu,"$13,616",150
Aruba,"$2,486.00","$2,929.00","$3,279.00","$3,649.00","$3,952.00","$4,100.00",17.82%,11.95%,11.28%,8.30%,3.74%,10.62,37,Alto,0.00%,0.00%,→ Estável,"$1,614",176
Australia,"$1,362,613.00","$1,655,843.00","$1,725,461.00","$1,742,461.00","$1,796,805.00","$1,771,681.00",21.52%,4.20%,0.99%,3.12%,-1.40%,5.69,129,Médio,1.59%,1.56%,↓ Caiu,"$409,068",68
Austria,"$434,050.00","$480,786.00","$472,339.00","$512,509.00","$521,269.00","$534,301.00",10.77%,-1.76%,8.50%,1.71%,2.50%,4.34,153,Baixo,0.51%,0.47%,↓ Caiu,"$100,251",169
Azerbaijan,"$42,693.00","$54,825.00","$78,807.00","$72,428.00","$74,316.00","$78,870.00",28.42%,43.74%,-8.09%,2.61%,6.13%,14.56,14,Alto,0.05%,0.07%,↑ Cresceu,"$36,177",85
Bahamas,"$9,958.00","$11,369.00","$13,136.00","$14,338.00","$14,761.00","$15,178.00",14.17%,15.54%,9.15%,2.95%,2.83%,8.93,58,Médio,0.01%,0.01%,→ Estável,"$5,220",54
Bahrain,"$35,838.00","$40,840.00","$46,458.00","$46,192.00","$46,943.00","$47,829.00",13.96%,13.76%,-0.57%,1.63%,1.89%,6.13,118,Médio,0.04%,0.04%,→ Estável,"$11,991",162
Bangladesh,"$373,902.00","$416,265.00","$460,201.00","$451,534.00","$451,096.00","$467,218.00",11.33%,10.55%,-1.88%,-0.10%,3.57%,4.7,149,Baixo,0.44%,0.41%,↓ Caiu,"$93,316",6
Barbados,"$5,168.00","$5,275.00","$6,257.00","$6,721.00","$7,167.00","$7,552.00",2.07%,18.62%,7.42%,6.64%,5.37%,8.02,73,Médio,0.01%,0.01%,→ Estável,"$2,384",124
Belarus,"$61,312.00","$68,207.00","$73,735.00","$71,792.00","$71,180.00","$71,561.00",11.25%,8.10%,-2.64%,-0.85%,0.54%,3.28,165,Baixo,0.07%,0.06%,↓ Caiu,"$10,249",171
Belgium,"$529,269.00","$598,892.00","$593,906.00","$644,968.00","$664,965.00","$684,864.00",13.15%,-0.83%,8.60%,3.10%,2.99%,5.4,134,Médio,0.62%,0.60%,↓ Caiu,"$155,595",138
